spike	Rngerm.CD.R13.star	Rngerm.CD.R14.star	Rngerm.CD.R15.star	Rngerm.CD.R16.star	Rngerm.HFD.R10.star	Rngerm.HFD.R11.star	Rngerm.HFD.R12.star	Rngerm.HFD.R9.star
spike-in_8.5_3.55_0	262	163	458	378	5176	3192	3482	3229
spike-in_8.5_3.55_1	196	154	348	346	4171	2822	2866	2708
spike-in_8.5_3.55_2	287	258	338	222	4118	2943	3012	2921
spike-in_8.5_3.55_3	272	253	374	249	4850	2922	3154	2992
spike-in_8.5_3.55_4	246	234	353	290	4986	2516	3508	2549
spike-in_8.5_3.55_5	52	369	576	267	5444	3132	3648	2961
spike-in_8.5_3.55_6	385	312	382	290	5342	3773	3775	3527
spike-in_8.5_3.55_7	249	235	367	323	4650	3065	3481	3013
spike-in_8.5_3.55_8	288	313	354	321	5197	3041	3410	2965
spike-in_8.5_3.55_9	417	328	444	314	5949	3522	4092	3528
spike-in_8.5_3.55_10	280	314	562	450	6386	3538	4701	3603
spike-in_8.5_3.55_11	343	305	219	195	4075	3033	2725	2462
spike-in_8.5_3.55_12	264	293	167	473	4781	3055	3688	2715
spike-in_8.5_3.55_13	463	294	629	650	7571	5778	5423	5257
spike-in_8.5_3.55_14	273	286	285	187	4275	2416	3139	2573
spike-in_8.5_3.55_15	345	294	511	507	6574	4300	4428	4261
spike-in_8.5_3.55_16	425	439	480	280	6838	3842	5230	3396
spike-in_8.5_3.55_17	282	307	409	524	5420	4440	4471	3220
spike-in_8.5_3.55_18	276	220	312	236	4286	2580	2890	2673
spike-in_8.5_3.55_19	200	357	363	192	4402	2738	2952	2845
spike-in_8.5_3.55_20	388	372	606	563	7286	4934	4987	4669
spike-in_8.5_3.55_21	283	269	422	343	5176	3192	3482	3229
spike-in_8.5_3.55_22	344	376	638	452	6333	5325	5506	3825
spike-in_8.5_3.55_23	335	297	559	591	6966	4790	4691	4762
spike-in_8.5_3.55_24	336	263	442	253	5016	3326	3925	2687
spike-in_8.5_3.55_25	426	327	491	272	5828	4018	3540	3944
spike-in_8.5_3.55_26	372	360	458	314	6380	3669	4290	3916
spike-in_8.5_3.55_27	204	223	335	397	4288	2917	3209	2832
spike-in_8.5_3.55_28	197	247	488	579	6037	4158	3830	3881
spike-in_8.5_3.55_29	385	307	547	618	7255	4878	4778	4883
spike-in_8.5_3.55_30	258	218	179	399	4445	2803	2621	2795
spike-in_8.5_3.55_31	234	274	493	337	5444	3132	3648	2961
spike-in_8.5_3.55_32	404	265	299	249	4539	3180	3275	3131
